Title,ID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode,Modified,Created,Modified By
,"52","10","IR132 No.4",,"1","90","240","HMP-LP AC-IR132 No.4","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"53","10","IR37 No.5",,"0","90","240","HMP-LP AC-IR37 No.5","9/20/2022 9:18 PM","7/20/2021 2:27 AM","Uyen Lai Nha {SPVB}"
,"54","10","Khí thanh trùng line G",,"1","90","240","HMP-LP AC-Sterilization Air G","8/30/2021 6:38 AM","7/20/2021 2:27 AM","Hung Tran Thanh {SPVB - Contractor}"
,"56","10","LP system",,"1","90","240","HMP-LP AC-LP system","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"57","11","Evaporizer No.1",,"1","90","240","HMP-CO2 và N2-Evaporizer No.1","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"58","11","Evaporizer No.2",,"1","90","240","HMP-CO2 và N2-Evaporizer No.2","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"59","11","Messer Tank",,"1","90","240","HMP-CO2 và N2-Messer Tank","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"60","11","ASCO TANK",,"1","90","240","HMP-CO2 và N2-ASCO TANK","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"61","11","WITT",,"1","90","240","HMP-CO2 và N2-WITT","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"62","11","NITO 10KL",,"1","90","240","HMP-CO2 và N2-NITO 10KL","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"63","11","NITO 18KL",,"1","90","240","HMP-CO2 và N2-NITO 18KL","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"64","12","Chiller Mixer G",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller Mixer G","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"65","12","Chiller khuôn SBO20",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller khuôn SBO20","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"66","12","Chiller AHU SBO20",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller AHU SBO20","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"67","12","Chiller HTST H",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller HTST H","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"68","12","Chiller khuôn SBO14",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller khuôn SBO14","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"69","12","Chiller 60HP H ngoài",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller 60HP H ngoài","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
