Title_x,MACID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode_x,Modified_x,Created_x,Modified By,Title_y,PLANTID,NameSYS,DescriptionSYS,QRCode_y,Modified_y,Created_y,Title,NameP,AddressP
,40,8,IHI No.2,,1,90,240,HMP-Boiler-IHI No.2,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Boiler,Hệ thống Boiler,HMP-Boiler,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,41,8,IHI No.3,,1,90,240,HMP-Boiler-IHI No.3,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Boiler,Hệ thống Boiler,HMP-Boiler,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,42,8,MIURA,,1,90,240,HMP-Boiler-MIURA,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Boiler,Hệ thống Boiler,HMP-Boiler,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,43,9,CE68A G1215,,1,90,240,HMP-HP AC-CE68A G1215,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,HP AC,Hệ thống HP AC,HMP-HP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,44,9,CE68A G1122,,1,90,240,HMP-HP AC-CE68A G1122,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,HP AC,Hệ thống HP AC,HMP-HP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,45,9,VH21H3N,,1,90,240,HMP-HP AC-VH21H3N,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,HP AC,Hệ thống HP AC,HMP-HP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,46,9,WH40H3N,,1,90,240,HMP-HP AC-WH40H3N,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,HP AC,Hệ thống HP AC,HMP-HP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,47,9,AF L5A,,1,90,240,HMP-HP AC-AF L5A,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,HP AC,Hệ thống HP AC,HMP-HP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,48,9,HP system,,1,90,240,HMP-HP AC-HP system,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,HP AC,Hệ thống HP AC,HMP-HP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,49,10,IR132 No.1,,1,90,240,HMP-LP AC-IR132 No.1,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
